conference_topic,research_area,concept
The farm animal genotype–tissue expression (farmgtex) project,general genetics,tissue expression
The farm animal genotype–tissue expression (farmgtex) project,general genetics,farm animal genotype
Novel mrna isoforms in human microglia refine genetic associations with neurodegeneration,general genetics,human microglia
Novel mrna isoforms in human microglia refine genetic associations with neurodegeneration,general genetics,neurodegeneration
Novel mrna isoforms in human microglia refine genetic associations with neurodegeneration,general genetics,mrna isoforms
Novel mrna isoforms in human microglia refine genetic associations with neurodegeneration,general genetics,genetic associations
Mass spectrometry-based mapping of plasma protein qtls in children and adolescents,general genetics,children
Mass spectrometry-based mapping of plasma protein qtls in children and adolescents,general genetics,qtls
Mass spectrometry-based mapping of plasma protein qtls in children and adolescents,general genetics,plasma protein
Mass spectrometry-based mapping of plasma protein qtls in children and adolescents,general genetics,mass spectrometry
Mass spectrometry-based mapping of plasma protein qtls in children and adolescents,general genetics,adolescents
Understanding immune escape in lung cancer,general genetics,lung cancer
Understanding immune escape in lung cancer,general genetics,immune escape
Hyperactive histone genes fuel cancer,general genetics,cancer
Hyperactive histone genes fuel cancer,general genetics,histone genes
A structured coalescent model reveals deep ancestral structure shared by all modern humans,general genetics,ancestral structure
A structured coalescent model reveals deep ancestral structure shared by all modern humans,general genetics,modern humans
A structured coalescent model reveals deep ancestral structure shared by all modern humans,general genetics,coalescent model
Artificial intelligence in clinical genetics,human genetics,clinical genetics
Artificial intelligence in clinical genetics,human genetics,artificial intelligence
Artificial intelligence in clinical genetics,general genetics,clinical genetics
Artificial intelligence in clinical genetics,general genetics,artificial intelligence
Multi-locus inherited neoplasia alleles syndromes in cancer: implications for clinical practice,human genetics,multi-locus inherited neoplasia alleles syndromes
Multi-locus inherited neoplasia alleles syndromes in cancer: implications for clinical practice,human genetics,cancer
Multi-locus inherited neoplasia alleles syndromes in cancer: implications for clinical practice,human genetics,clinical practice
