conference_topic,journal,extracted_concept
Integration of imaging and clinical data,image analysis,medical imaging
Multimodal learning combining imaging with textual data and other data types,image analysis,multimodal learning
"Invariant features for images from different modalities, scanning protocols and patient groups",image analysis,medical imaging
Supervised model adaptation to new domains for medical image computing,image analysis,domain adaptation
Supervised model adaptation to new domains for medical image computing,image analysis,medical image computing
Supervised model adaptation to new domains for medical image computing,image analysis,supervised learning
Computer-aided detection and diagnosis,medical imaging,computer-aided diagnosis
Computational pathology algorithms,medical imaging,computational pathology
Computational pathology with advanced computational infrastructures,medical imaging,computational pathology
Clinical digital pathology image analysis with large-scale deep learning models,medical imaging,digital pathology
Clinical digital pathology image analysis with large-scale deep learning models,medical imaging,deep learning
Domain adaptation techniques for transferring models across different clinical domains,medical imaging,domain adaptation
Domain adaptation techniques for transferring models across different clinical domains,medical imaging,clinical data analysis
Deep learning for pathological image analysis using large datasets,medical imaging,deep learning
Deep learning for pathological image analysis using large datasets,medical imaging,medical image analysis
Multi-omics and texture analysis using digital pathology,medical imaging,texture analysis
Multi-omics and texture analysis using digital pathology,medical imaging,digital pathology
Multi-omics and texture analysis using digital pathology,medical imaging,multi-omics
Personalized medicine using digital pathology data,medical imaging,digital pathology
Personalized medicine using digital pathology data,medical imaging,personalized medicine
Explainable ai techniques for clinical decision-making using foundation models,medical imaging,clinical decision-making
Privacy-preserving techniques for using foundation models in clinical image analysis,medical imaging,clinical image analysis
Privacy-preserving techniques for using foundation models in clinical image analysis,medical imaging,privacy-preserving techniques
Quality assurance and quality control in digital pathology studies,medical imaging,digital pathology
Quality assurance and quality control in digital pathology studies,medical imaging,quality assurance
Big data analytics for image-guided therapies,medical imaging,image-guided therapies
Big data analytics for image-guided therapies,medical imaging,big data analytics
Segmentation of medical images,medical imaging,medical image segmentation
Learning-based image registration,medical imaging,machine learning
Learning-based image registration,medical imaging,image registration
Foundation models for medical imaging,medical imaging,foundation models
Foundation models for medical imaging,medical imaging,medical imaging
Generative ai for medical imaging,medical imaging,medical imaging
Federate learning for medical imaging,medical imaging,medical imaging
Federate learning for medical imaging,medical imaging,federated learning
Safe and trustworthy learning-assisted solutions for medical imaging,medical imaging,medical imaging
Image acquisition and reconstruction,medical imaging,image acquisition
Image acquisition and reconstruction,medical imaging,image reconstruction
developing models for clinical outcomes using large-scale digital pathology datasets,medical imaging,clinical outcomes
developing models for clinical outcomes using large-scale digital pathology datasets,medical imaging,digital pathology
evaluating and benchmarking foundation models for digital pathology image analysis applications,medical imaging,foundation models
evaluating and benchmarking foundation models for digital pathology image analysis applications,medical imaging,digital pathology
evaluating and benchmarking foundation models for digital pathology image analysis applications,medical imaging,image analysis
